BEGAIN	CD83	CD93	CEP164	FOXN2	IGFBP2	IL18	KDELR1	NCSTN	NOTCH2	NPY	NT5E	PARP4	SIGLEC1	SLC16A2	SLC35B1	SLC9A2	VPS16
TCGA.A1.A0SB	155.423	242.82	647.821	782.521	351.391	13210.497	38.293	3053.497	4765.636	10713.369	0	143.259	1600.631	28.832	1162.293	754.139	25.228	773.51
TCGA.A1.A0SD	20.18	361.26	3314.532	397.651	284.509	2739.889	87.338	4157.142	4063.813	5142.337	0	625.259	1368.621	424.779	671.905	730.13	40.361	993.135
TCGA.A1.A0SE	27.972	166.516	2115.343	470.259	223.776	5730.646	43.768	4668.696	5407.938	7176.964	0.987	239.243	1230.769	59.564	814.809	803.62	6.253	1063.924
TCGA.A1.A0SF	25.276	114.812	2060.621	467.817	329.014	3572.029	215.059	5202.962	4898.919	5003.754	0	236.05	1134.413	86.109	351.291	860.663	124.665	1031.596
TCGA.A1.A0SG	10.8	117.001	2059.581	566.286	159.842	15824.318	109.441	4584.286	3155.115	5846.819	0	348.123	703.807	226.802	188.642	834.848	654.486	1202.052
TCGA.A1.A0SH	15.168	465.165	2063.626	343.095	235.471	2966.869	88.482	5180.373	3722.797	10763.793	1.445	824.511	2221.811	105.095	1432.692	824.873	1.806	1221.779
TCGA.A1.A0SI	5.886	534.138	1800.177	563.273	254.856	1823.426	144.791	3928.193	4730.171	7595.056	0.589	540.024	1280.753	538.846	811.065	734.255	3.826	1394.353
TCGA.A1.A0SJ	12.803	101.692	3171.102	319.707	486.877	1378.326	105.716	6701.783	3565.194	4240.695	0	290.443	2397.074	124.737	2778.967	1141.289	24.143	1314.312
TCGA.A1.A0SK	58.935	1299.086	785.692	571.699	358.966	3317.05	17.964	3081.311	1850.009	1604.79	0.315	79.42	1775.607	19.225	666.877	916.798	54.207	739.678
TCGA.A1.A0SM	101.326	219.066	2360.164	313.131	303.662	1404.987	142.992	6223.801	4213.835	5197.601	0	678.346	2127.525	359.217	575.126	889.205	264.204	1140.151
TCGA.A1.A0SN	9.622	333.868	2117.383	345.093	398.974	2618.345	400.257	4659.397	4124.512	8252.085	0	262.027	1195.959	346.697	241.18	723.541	169.339	1313.663
TCGA.A1.A0SP	16.052	867.567	1178.037	574.608	460.051	4667.275	261.948	3644.655	3152.134	7805.545	0	271.434	1363.371	444.728	134.258	748.632	435.972	929.588
TCGA.A1.A0SQ	25.013	184.77	2777.206	256.178	324.76	3887.443	58.901	2202.723	7670.342	5873.525	0	182.753	418.356	447	1408.775	726.576	0.807	713.666
TCGA.A2.A04N	16.64	253.962	1956.418	579.635	189.382	2780.903	122.821	4322.504	2370.444	3856.973	0.792	283.281	1356.577	153.328	416.006	696.117	229.002	1114.105
TCGA.A2.A04P	3.112	879.668	1804.979	336.618	381.224	1230.291	230.291	11787.344	3061.748	3144.709	0	232.884	1375.519	443.983	196.577	872.407	22.822	1533.195
TCGA.A2.A04Q	4.628	824.528	1607.019	510.991	408.793	287.698	613.189	5697.262	4694.663	4610.104	0	348.245	1384.111	505.206	278.442	1338.604	35.094	834.555
TCGA.A2.A04R	4.709	121.344	1586.163	293.761	317.667	5546.681	30.789	5830.662	2558.468	4611.79	0	269.492	2118.989	97.075	311.51	2015.032	9.78	868.605
TCGA.A2.A04T	22.603	1908.024	1007.389	519.517	476.397	1406.937	117.187	4213.51	7313.863	11978.44	9.041	181.518	2366.339	544.554	116.491	721.551	16.691	522.994
TCGA.A2.A04U	397.454	814.132	753.864	278.997	159.501	2095.337	33.251	4715.937	4446.811	4054.033	0	136.641	534.615	129.368	172.49	2040.784	3.117	597.491
TCGA.A2.A04V	6.519	308.006	1852.516	422.897	119.373	9558.362	126.706	5051.538	3066.612	3386.84	0	341.821	1089.428	167.04	270.931	710.532	0.407	1140.762
TCGA.A2.A04W	23.774	270.161	1473.457	379.306	154.532	1966.77	95.637	17830.609	3128.11	4929.893	0	200.459	1175.199	156.693	3912.468	6000.81	136.161	697.555
TCGA.A2.A04X	0.721	371.632	1297.648	327.656	280.436	628.999	559.431	5817.789	2134.631	3896.549	0	240.065	836.262	784.356	548.977	4364.423	69.568	1581.689
TCGA.A2.A04Y	2.342	847.441	2089.327	684.175	345.266	3827.032	210.773	6768.15	3854.262	2994.647	0	242.891	1457.344	692.205	727.334	1332.553	604.885	900.636
TCGA.A2.A0CK	29.899	339.798	1570.101	530.101	199.596	4863.03	143.03	5561.616	3858.586	2033.939	0	138.99	966.061	143.838	347.879	785.051	2.02	1090.505
TCGA.A2.A0CL	33.729	1641.586	3911.045	566.345	666.049	3204.967	428.836	3184.211	2255.623	5924.388	0	826.538	2336.916	1616.753	922.165	796.516	0.741	1355.819
TCGA.A2.A0CM	0.923	1041.652	1774.547	591.67	744.894	38.768	175.378	3285.104	5598.329	5006.115	0	306.45	2018.692	869.043	183.685	852.89	56.767	1077.651
TCGA.A2.A0CO	61.828	1285.013	8521.775	646.684	274.047	3344.961	126.162	4161.671	3134.325	6052.01	0	584.021	1179.739	733.159	416.501	645.849	7.937	923.655
TCGA.A2.A0CP	37.533	160.188	2796.247	743.968	181.635	4800.268	128.016	5273.458	2255.362	3756.702	2.011	327.748	1028.82	149.464	638.07	797.587	18.096	1014.075
TCGA.A2.A0CQ	37.159	712.104	1195.891	544.529	134.703	3022.778	595.266	5414.203	5549.016	3409.022	0	129.344	1511.032	179.008	409.469	965.788	1.072	803.216
TCGA.A2.A0CR	151.6	904.693	2500.502	589.009	185.932	3835.47	510.534	6412.217	1767.473	1966.336	0.446	347.787	724.111	594.806	288.039	898.005	4.905	1365.288
